MATERIAL,DESCRIPTION,SALES,CUSTCOUNT,SOCOUNT,Index,Bin - Rev,Cumulative Sales,Bin - Cust,Bin - Order Freq,Classification,Multichannel,Larger P,Material Type,COP,Production,Category
10091,WHIPPING CREAM/MILLAC GOLD 1L," 29,37,362 ",657,18058,1,A,0.021,X,L,AXL,True,Non Retail,TRADING,GB,,Dairy
13584,WHIPPING (NON-DAIRY CREAM)/REDMAN 1100G," 22,17,614 ",512,6143,2,A,0.027,X,L,AXL,True,Non Retail,TRADING,SG,,Fat & Oil
1917,WHIPPING CREAM DAIRY 38%/MILLAC 1L," 21,94,920 ",350,7478,3,A,0.039,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
68328,BUTTER UNSALTED LACTIC/REDMAN 250G," 20,09,503 ",938,13977,4,A,0.045,X,L,AXL,True,Non Retail,TRADING,DK,,Dairy
10869,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L," 13,75,191 ",346,7919,5,A,0.051,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
57788,CHEESE MOZZARELLA SHREDDED/GOLDTREE 1KG," 13,67,263 ",509,6882,6,A,0.054,X,L,AXL,True,Non Retail,TRADING,GB,,Cheese
55973,BUTTER UNSALTED/FLECHARD 1KG," 12,86,770 ",182,3320,7,A,0.061,Y,L,AYL,True,Non Retail,TRADING,FR,,Dairy
51581,CREAM CHEESE/ROYAL VICTORIA 2KG," 12,41,063 ",840,8209,8,A,0.061,X,L,AXL,True,Non Retail,TRADING,AU,,Cheese
66390,MILK STICK WHOLE UHT/LAKELAND 480X10ML," 10,96,061 ",2,109,9,A,0.065,Z,N,AZN,True,Non Retail,TRADING,GB,,Dairy
68327,BUTTER SALTED LACTIC/REDMAN 250G," 9,80,790 ",343,4152,10,A,0.073,Y,L,AYL,True,Non Retail,TRADING,DK,,Dairy
108134,OIL OLIVE POMACE/REDMAN 5L," 8,27,543 ",453,9886,11,A,0.079,X,L,AXL,True,Non Retail,TRADING,ES,,PHD
65032,MILK UHT FULL CREAM 3.5%/MILCOW 1L," 7,68,134 ",723,7167,12,A,0.08,X,L,AXL,True,Non Retail,TRADING,DE,,Dairy
14428,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG," 6,83,394 ",73,730,13,A,0.085,Y,M,AYM,True,Non Retail,TRADING,FR,,Dairy
12225,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG," 6,71,073 ",365,6131,14,A,0.099,Y,L,AYL,True,Non Retail,TRADING,SG,,Dairy
1242,FLOUR PLAIN REDMAN 1KG," 6,36,063 ",1078,17080,15,A,0.107,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Flour, Grain & Flakes"
103602,MILK UHT FULL CREAM 3.5%/REDMAN 1L," 6,10,886 ",891,9414,16,A,0.11,X,L,AXL,True,Non Retail,TRADING,DE,,Dairy
62281,CHEESE PIZZA TOPPING/GOLDTREE 1KG," 6,10,667 ",211,2736,17,A,0.114,Y,M,AYM,True,Retail,TRADING,GB,,Cheese
66650,COOKING CREAM/MILLAC GOLD 1L," 6,03,787 ",324,5669,18,A,0.125,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
14845,HONEY PURE/REDMAN 1KG," 5,97,210 ",1045,11889,19,A,0.125,X,L,AXL,True,Non Retail,TRADING,CN,,Bakery
200700,FROZEN SUCKLING PIGS (4-5KG) SPECIAL," 5,89,824 ",1,19,20,A,0.126,Z,N,AZN,True,Non Retail,FG,P-SG,Y,Meat
14989,BUTTER UNSALTED/PETIT NORMAND 250G," 5,84,516 ",170,1457,21,A,0.126,Y,M,AYM,True,Non Retail,TRADING,FR,,Dairy
81081,FRZ PORK ST LOUIS RIB 2.5LB/INDIANA KI," 5,77,067 ",42,586,22,A,0.126,Z,M,AZM,True,Non Retail,TRADING,US,,Meat
61691,THOMPSN BLACK RAISIN TURK/GOLDTREE12.5KG," 5,74,924 ",40,180,23,A,0.131,Z,N,AZN,True,Non Retail,TRADING,TR,,Fruits
966,NUT PISTACHIO KERNEL REDMAN 1KG," 5,73,907 ",783,5415,24,A,0.132,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
15001,BUTTER UNSALTED/CONAPROLE 25KG," 5,66,415 ",62,982,25,A,0.139,Y,M,AYM,True,Non Retail,TRADING,UY,,Dairy
972,NUT ALMOND BLANCHED SLICED REDMAN 1KG," 5,60,367 ",900,8217,26,A,0.14,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
200002,SUGAR ICING REDMAN 20X1KG," 5,55,169 ",161,1756,27,A,0.141,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
101486,FRZ US BEEF SHORT RIB B/L CHOICE/CREEKST," 5,54,174 ",24,338,28,A,0.149,Z,N,AZN,True,Non Retail,TRADING,US,,Meat
50628,CANOLA OIL SPRAY/GOLD'N 450G," 5,48,252 ",1087,9329,29,A,0.155,X,L,AXL,True,Non Retail,TRADING,AU,,Fat & Oil
64187,CHEESE PARMESAN GRATED/ALBA 1KG," 5,44,486 ",496,7518,30,A,0.16,X,L,AXL,True,Non Retail,TRADING,AU,,Cheese
50227,CHEESE MASCARPONE/CIRESA 500G," 5,27,773 ",583,6611,31,A,0.163,X,L,AXL,True,Non Retail,TRADING,IT,,Cheese
9817,PIE FILLING BLUEBERRY/ REDMAN 2.7KG," 5,23,249 ",327,3095,32,A,0.165,Y,L,AYL,True,Non Retail,TRADING,BE,,Filling & Jam
105869,NUTELLA 3KG," 4,84,763 ",275,1932,33,A,0.173,Y,M,AYM,True,Non Retail,TRADING,IT,,Filling & Jam
1417,SUGAR CASTER REDMAN 1KG," 4,44,251 ",667,9619,34,A,0.176,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
2580,PUREE MANGO SWEETENED REDMAN 5KG," 4,43,537 ",317,4077,35,A,0.181,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Fruits
60777,DRESSING ROASTED SESAME/KEWPIE 1L," 4,32,411 ",223,5473,36,A,0.183,Y,L,AYL,True,Non Retail,TRADING,MY,,Grocery
50003,BUTTER UNSALTED/GREENFIELDS 250G," 4,30,215 ",376,2043,37,A,0.183,Y,M,AYM,True,Non Retail,TRADING,GB,,Dairy
9621,PASTE PINEAPPLE PREMIUM REDMAN 1KG," 4,25,624 ",266,699,38,A,0.187,Y,M,AYM,True,Retail,TRADING,TH,,Filling & Jam
61263,CHEESE SMOKEY BURGER SLICE/REDMAN 1KG," 4,19,661 ",396,4568,39,A,0.189,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
53928,GELATINE FISH 200 BLOOM REDMAN 1KG," 4,03,429 ",336,2391,40,A,0.191,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
107309,CANNED LYCHEE IN SYRUP/MILI 565G," 4,02,774 ",262,2388,41,A,0.192,Y,M,AYM,True,Non Retail,TRADING,CN,,Fruits
100051,FRZ MANGO PUREE 8954/RAVIFRUIT 5KG," 3,99,997 ",53,436,42,A,0.193,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
50472,FRZ RASPBERRY PUREE 8031/RAVIFRUIT 1KG," 3,89,578 ",319,1788,43,A,0.195,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
50460,IQF BLUEBERRY (WILD) 8527/RAVIFRUIT 1KG," 3,86,140 ",296,2692,44,A,0.198,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
54082,CHEESE MOZZARELLA SHREDDED/ALBA 2KG," 3,78,595 ",249,2497,45,A,0.198,Y,M,AYM,True,Non Retail,TRADING,AU,,Cheese
107277,FRZ FRIES SHOESTRING 2KG," 3,77,400 ",4,45,46,A,0.202,Z,N,AZN,True,Non Retail,TRADING,CN,,Grocery
1938,MILK UHT FULL CREAM 3.5%/MF 1L," 3,73,860 ",606,5092,47,A,0.208,X,L,AXL,True,Non Retail,TRADING,NZ,,Dairy
10550,NUT PUMPKIN SEED KERNEL REDMAN 1KG," 3,66,874 ",660,6930,48,A,0.21,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
67445,CHEESE WHITE CHEDDAR SLICE/ROYAL VIC 1KG," 3,64,013 ",354,3208,49,A,0.213,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
54080,CHEESE CHEDDAR SHREDDED/ALBA 2KG," 3,62,497 ",224,3482,50,A,0.214,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
64819,BUTTER UNSALTED/GREENFIELDS 25KG," 3,50,711 ",44,547,51,A,0.221,Z,M,AZM,True,Non Retail,TRADING,GB,,Dairy
14990,DRIED CRANBERRY SWEET REDMAN 1KG," 3,50,681 ",796,8277,52,A,0.224,X,L,AXL,True,Non Retail,FG,P-SG,Y,Fruits
991,NUT PECAN REDMAN 1KG," 3,50,555 ",478,3715,53,A,0.229,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
51782,NUT WALNUT HALVES CALIFORNIA REDMAN 1KG," 3,47,942 ",607,5793,54,A,0.231,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
100049,IQF RASPBERRIES 8507/RAVIFRUIT 1KG," 3,46,697 ",334,2927,55,A,0.233,Y,L,AYL,True,Non Retail,TRADING,FR,,Fruits
107659,CREAMER GAS CHARGERS BLUE 50PC," 3,40,790 ",234,1494,56,A,0.234,Y,M,AYM,True,Retail,TRADING,AT,,Non Food
12137,NUT ALMOND SLICED BLANCHED 25LB," 3,35,459 ",93,1136,57,A,0.239,Y,M,AYM,True,Non Retail,TRADING,US,,"Nuts, Seeds & Beans"
1407,SUGAR BROWN REDMAN 2KG," 3,35,270 ",580,6012,58,A,0.241,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
102497,CHOC WHITE COMPOUND BLOCK 1KG VHP," 3,31,326 ",285,2778,59,A,0.245,Y,M,AYM,True,Non Retail,TRADING,SG,,Chocolates
10386,YEAST INSTANT DRY BLUE/BRUGGEMAN 500G," 3,25,727 ",632,4808,60,A,0.246,X,L,AXL,True,Non Retail,TRADING,BE,,Bakery
68323,FLORENTINE POWDER/REDMAN 500G," 3,22,197 ",152,633,61,A,0.246,Y,M,AYM,True,Retail,TRADING,DE,,"Flour, Grain & Flakes"
61864,NUT ALMOND BLANCHED GRD SUPER FINE 25LBS," 3,21,649 ",75,872,62,A,0.247,Y,M,AYM,True,Non Retail,TRADING,US,,"Nuts, Seeds & Beans"
65076,FLOUR ROUGE T45/BAGATELLE TBB 25KG," 3,19,749 ",2,356,63,A,0.248,Z,M,AZM,True,Non Retail,TRADING,FR,,"Flour, Grain & Flakes"
58098,TUNA CHUNK IN SOYBEAN OIL/GOLDTREE 1885G," 3,17,810 ",138,1982,64,A,0.254,Y,M,AYM,True,Non Retail,TRADING,TH,,PHD
1405,SUGAR BROWN REDMAN 1KG," 3,17,340 ",744,6280,65,A,0.256,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
107276,FRZ FRIES SHOESTRING COATED 2KG," 3,16,805 ",98,2357,66,A,0.259,Y,M,AYM,True,Non Retail,TRADING,CN,,Grocery
1204,FLOUR BREAD PRIMA CLOVER 25KG," 3,15,144 ",229,4019,67,A,0.263,Y,L,AYL,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
55575,SUGAR WHITE REFINED (BAGX25KG)," 3,10,297 ",322,4791,68,A,0.277,Y,L,AYL,True,Non Retail,TRADING,TH,,Bakery
1416,SUGAR FINE REDMAN 1KG," 3,08,818 ",1029,16703,69,A,0.281,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
66693,SYRUP HAZELNUT/DAVINCI GOURMET 750ML," 3,07,603 ",196,4520,70,A,0.284,Y,L,AYL,True,Non Retail,TRADING,MY,,Beverage
976,NUT ALMOND WHOLE W SKIN REDMAN 1KG," 3,06,081 ",407,3636,71,A,0.287,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
54912,FLOUR PIZZA TIPO 00 CAPUTO 25KG," 3,05,554 ",147,2700,72,A,0.3,Y,M,AYM,True,Non Retail,TRADING,IT,,"Flour, Grain & Flakes"
1410,SUGAR ICING REDMAN 1KG," 3,05,544 ",1494,16336,73,A,0.303,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
200001,ESSENCE VANILLA REDMAN 1KG," 2,95,809 ",656,3085,74,A,0.303,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
200325,FRZ AU LAMB RACK 3 BONE 200-230GM+/-," 2,86,911 ",7,104,75,A,0.305,Z,N,AZN,True,Non Retail,FG,P-SG,Y,Meat
50473,FRZ MANGO CLASSIC PUREE/RAVIFRUIT 1KG," 2,83,975 ",354,2777,76,A,0.306,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
13887,BUTTER SALTED/GREENFIELDS 250G," 2,82,391 ",136,862,77,A,0.308,Y,M,AYM,True,Non Retail,TRADING,GB,,Dairy
10321,DRIED BLACK RAISINS/REDMAN 25LB," 2,82,223 ",129,1630,78,A,0.311,Y,M,AYM,True,Non Retail,TRADING,US,,Fruits
14646,MAYONNAISE/REDMAN 3L," 2,79,663 ",334,3487,79,A,0.311,Y,L,AYL,True,Non Retail,TRADING,SG,,Grocery
110089,OYSTER FINE DE CLAIRE N3/TESSIER 180PC," 2,77,218 ",11,114,80,A,0.313,Z,N,AZN,True,Non Retail,TRADING,FR,,Seafood
102499,CHOC DARK COMPOUND BLK SEMI SWEET1KG VHP," 2,75,190 ",220,2413,81,A,0.315,Y,M,AYM,True,Non Retail,TRADING,SG,,Chocolates
934,NUT CASHEW REDMAN 1KG," 2,68,368 ",442,3185,82,A,0.317,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
15108,MARASCHINO CHERRY RED/REDMAN 1GAL," 2,67,305 ",315,1586,83,A,0.32,Y,M,AYM,True,Non Retail,TRADING,US,,Fruits
50448,IQF SUMMER FRUIT MIX 8167/RAVIFRUIT 1KG," 2,56,581 ",338,3834,84,A,0.323,Y,L,AYL,True,Non Retail,TRADING,FR,,Fruits
1207,FLOUR BREAD REDMAN 1KG," 2,56,048 ",435,4015,85,A,0.326,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Flour, Grain & Flakes"
100039,IQF STRAWBERRY 8307/RAVIFRUIT 1KG," 2,54,262 ",368,3107,86,A,0.327,Y,L,AYL,True,Non Retail,TRADING,FR,,Fruits
10981,ICE JELLY POWDER REDMAN 1KG," 2,50,581 ",254,1388,87,A,0.329,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
55539,FLOUR RINFORZATA TIPO 00 CAPUTO 25KG," 2,49,298 ",98,1879,88,A,0.33,Y,M,AYM,True,Non Retail,TRADING,IT,,"Flour, Grain & Flakes"
101816,CHEESE MASCARPONE/REDMAN 500G," 2,46,190 ",196,1144,89,A,0.333,Y,M,AYM,True,Retail,TRADING,DE,,Cheese
52075,SPONGE FINGER BISCUIT 020/BALOCCO 400G," 2,46,055 ",486,3943,90,A,0.335,X,L,AXL,True,Non Retail,TRADING,IT,,Grocery
100048,IQF MANGO CUBES 8261/RAVIFRUIT 1KG," 2,46,028 ",255,2129,91,A,0.337,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
100005,BAKING SHEET SILICON 60X40CM 500PC /SAGA," 2,33,354 ",445,2873,92,A,0.34,X,L,AXL,True,Non Retail,TRADING,DE,,Non Food
104996,100%PURE VEG CP8 COOKING OIL/REDMAN 17KG," 2,29,335 ",207,3043,93,A,0.341,Y,L,AYL,True,Non Retail,TRADING,MY,,Fat & Oil
54088,CHEESE PARMESAN SHREDDED/ALBA 1KG," 2,28,709 ",120,1020,94,A,0.344,Y,M,AYM,True,Non Retail,TRADING,AU,,Cheese
13046,SILICONE PARCHMENT PAPER /REDMAN," 2,27,963 ",676,3503,95,A,0.346,X,L,AXL,True,Non Retail,TRADING,FI,,Non Food
994,NUT PINE REDMAN 1KG," 2,24,451 ",425,2512,96,A,0.347,X,M,AXM,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
1252,FLOUR WHEAT PRIMA NECKLACE 25KG," 2,21,083 ",22,1353,97,A,0.347,Z,M,AZM,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
107137,FILLING PASTE MC WHITE LOTUS NCSA 3KG," 2,18,670 ",3,22,98,A,0.351,Z,N,AZN,True,Non Retail,TRADING,MY,,Filling & Jam
54596,PASTA SPAGHETTI 12/GRANORO 500G," 2,14,813 ",152,4564,99,A,0.354,Y,L,AYL,True,Non Retail,TRADING,IT,,PHD
50215,SYRUP FLAVOURED MAPLE REDMAN 490G," 2,13,395 ",368,3727,100,A,0.354,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Bakery
50274,PASTE PINEAPPLE AAA/REDMAN 10KG," 2,12,515 ",63,177,101,A,0.356,Y,N,AYN,True,Non Retail,TRADING,TH,,Filling & Jam
11057,PEACH HALVES IN SYRUP/REDMAN 825G," 2,12,205 ",255,2079,102,A,0.359,Y,M,AYM,True,Non Retail,TRADING,ZA,,Fruits
13763,FLOUR WHEAT PRIMA IKAN TERBANG 25KG," 2,10,950 ",181,3256,103,A,0.36,Y,L,AYL,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
58290,DRIED FRT CRANBERRY SWEET/REDMAN 25LB," 2,10,171 ",149,1307,104,A,0.361,Y,M,AYM,True,Non Retail,TRADING,US,,Fruits
57951,NUT ALMOND BLANCHED GRD SFINE REDMAN 1KG," 2,08,945 ",298,1891,105,A,0.364,Y,M,AYM,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
57787,CHEESE CHEDDAR COLOUR SHRED/GOLDTREE 2KG," 2,08,744 ",160,2700,106,A,0.364,Y,M,AYM,True,Non Retail,TRADING,GB,,Cheese
110082,FRZ OYSTER IN SHELL SASHIMI 60G/79G 140P," 2,07,776 ",43,237,107,A,0.366,Z,N,AZN,True,Non Retail,TRADING,JP,,Seafood
14837,CHOC COUV DARK DROP 55.5% BAKEWAY 1KG," 2,06,677 ",312,2898,108,A,0.367,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Chocolates
54012,FILLING PASTE MC WHITE LOTUS/REDMAN 1KG," 2,06,658 ",74,198,109,A,0.367,Y,N,AYN,True,Non Retail,TRADING,MY,,Filling & Jam
13885,PISTACHIO KERNEL/REDMAN 30LB," 2,06,588 ",42,227,110,A,0.369,Z,N,AZN,True,Non Retail,TRADING,US,,"Nuts, Seeds & Beans"
80679,OIL WHITE TRUFFLE W SUNFLOWER OIL 1L," 2,06,448 ",138,2215,111,A,0.369,Y,M,AYM,True,Non Retail,TRADING,CA,,PHD
65917,BUTTER PURE CREAMERY/GOLDEN CHURN 454G," 2,03,630 ",59,181,112,A,0.369,Y,N,AYN,True,Retail,TRADING,NZ,,Dairy
104966,HAZELLA SPREAD 1KG/REDMAN," 2,02,400 ",107,302,113,A,0.372,Y,N,AYN,True,Retail,TRADING,IT,,Filling & Jam
949,NUT HAZELNUT BLANCHED WHOLE REDMAN 1KG," 2,02,261 ",571,3755,114,A,0.374,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
50488,FRZ STRAWBERRY PUREE 8028/RAVIFRUIT 1KG," 2,00,762 ",349,1899,115,A,0.376,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
67501,MOZZARELLA BURRATA IQF/ROMA BELLA 125G," 2,00,426 ",170,2756,116,A,0.377,Y,M,AYM,True,Non Retail,TRADING,IT,,Cheese
9474,SUGAR ICING REDMAN 20KG," 1,97,960 ",100,1028,117,A,0.379,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
50477,FRZ PASSION PUREE 8051/RAVIFRUIT 1KG," 1,96,502 ",354,2026,118,A,0.379,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
105,BAKING POWDER REDMAN 18KG," 1,96,022 ",108,672,119,A,0.38,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
107213,BOVINE GELATINE LEAF GOLD 1KG/GELITA," 1,94,889 ",408,1180,120,A,0.384,X,M,AXM,True,Non Retail,TRADING,DE,,Bakery
1208,FLOUR CAKE REDMAN 1KG," 1,92,690 ",575,4763,121,A,0.387,X,L,AXL,True,Retail,FG,P-SG,Y,"Flour, Grain & Flakes"
9478,GLUCOSE LIQUID REDMAN 6KG," 1,92,454 ",379,3036,122,A,0.387,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Bakery
1095,ICE CREAM POWDER-VANILLA/COMELLE 2.5KG," 1,91,716 ",30,221,123,A,0.387,Z,N,AZN,True,Non Retail,TRADING,GB,,Dairy
200701,FROZEN SUCKLING PIGS (5-6KG) SPECIAL," 1,91,682 ",1,15,124,A,0.388,Z,N,AZN,True,Non Retail,FG,P-SG,Y,Meat
201034,GELATINE PWD BOVINE 170 BLOOM RM 1KG BT," 1,89,938 ",194,907,125,A,0.388,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
50275,PASTE PINEAPPLE AAA/REDMAN 1KG," 1,88,841 ",66,100,126,A,0.389,Y,N,AYN,True,Retail,TRADING,TH,,Filling & Jam
57522,DARK COMPOUND COATING/TULIP 1KG," 1,88,680 ",178,1188,127,A,0.394,Y,M,AYM,True,Non Retail,TRADING,ID,,Chocolates
734,DRIED BLACK RAISIN REDMAN 1KG," 1,87,804 ",646,5714,128,A,0.394,X,L,AXL,True,Non Retail,FG,P-SG,Y,Fruits
1967,PASTE PINEAPPLE PREMIUM REDMAN 10KG," 1,86,439 ",74,161,129,A,0.395,Y,N,AYN,True,Non Retail,TRADING,TH,,Filling & Jam
104128,BAMBOO CHARCOAL POWDER/REDMAN 1KG," 1,85,401 ",281,958,130,A,0.398,Y,M,AYM,True,Non Retail,TRADING,TW,,Bakery
974,NUT ALMOND BLANCHED GRD REDMAN 1KG," 1,85,209 ",462,3214,131,A,0.399,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
60354,TARTSHELL PUFF PASTRY/REDMAN 20G," 1,83,724 ",110,1275,132,A,0.4,Y,M,AYM,True,Non Retail,TRADING,CN,,Bakery
80678,OIL OLIVE W WHITE TRUFFLE/PH DELI 1L," 1,83,518 ",159,1494,133,A,0.403,Y,M,AYM,True,Non Retail,TRADING,CA,,PHD
51714,SYRUP FLAVOURED MAPLE REDMAN 3KG," 1,81,595 ",291,3149,134,A,0.403,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Bakery
110487,WHIPPING CREAM 35%/FLECHARD 1L," 1,80,436 ",144,841,135,B,0.406,Y,M,BYM,True,Non Retail,TRADING,FR,,Dairy
213,COCOA POWDER REDMAN 1KG," 1,78,619 ",682,3023,136,B,0.409,X,L,BXL,True,Non Retail,FG,P-SG,Y,Chocolates
12456,NUT WALNUT PIECES CALIFORNIA REDMAN 1KG," 1,77,916 ",418,3586,137,B,0.41,X,L,BXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
67059,CREAM CHEESE/ROYAL VICTORIA 1KG," 1,77,763 ",385,1413,138,B,0.412,Y,M,BYM,True,Retail,TRADING,AU,,Cheese
55345,MAYONNAISE REFILL/REDMAN 3L," 1,77,581 ",122,2061,139,B,0.415,Y,M,BYM,True,Non Retail,TRADING,SG,,Grocery
10914,COCOA CHIPS BAKEABLE REDMAN 1KG," 1,75,201 ",488,3669,140,B,0.416,X,L,BXL,True,Retail,FG,P-SG,Y,Chocolates
53468,SUGAR LIGHT BROWN SOFT/TATE LYLE 25KG," 1,75,102 ",62,827,141,B,0.416,Y,M,BYM,True,Non Retail,RM,GB,,Bakery
65511,FRZ DURIAN PULP PURE D24/REDMAN 1KG," 1,75,094 ",83,593,142,B,0.42,Y,M,BYM,True,Non Retail,TRADING,MY,,Fruits
11810,SUGAR DARK BROWN REDMAN 1KG," 1,74,548 ",490,4812,143,B,0.421,X,L,BXL,True,Non Retail,FG,P-SG,Y,Bakery
53930,DARK SWEET CHERRY PITTED/REDMAN 3090G," 1,73,944 ",169,603,144,B,0.423,Y,M,BYM,True,Non Retail,TRADING,US,,Fruits
10385,YEAST INSTANT DRY BROWN/BRUGGEMAN 500G," 1,73,622 ",268,2245,145,B,0.424,Y,M,BYM,True,Non Retail,TRADING,BE,,Bakery
10884,FLOUR WHEAT PRIMA FLAME 25KG," 1,70,731 ",84,1708,146,B,0.424,Y,M,BYM,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
65075,FLOUR FRENCH T65/BAGATELLE TBB 25KG," 1,69,143 ",2,274,147,B,0.427,Z,N,BZN,True,Non Retail,TRADING,FR,,"Flour, Grain & Flakes"
100031,DRESSING HONEY MUSTARD/KEWPIE 500ML," 1,68,987 ",51,2827,148,B,0.427,Y,L,BYL,True,Non Retail,TRADING,MY,,Grocery
65150,FLOUR BREAD ARTISAN 5LBS," 1,68,655 ",74,570,149,B,0.428,Y,M,BYM,True,Retail,TRADING,US,,"Flour, Grain & Flakes"
107278,FRZ FRIES STRAIGHT CUT COATED 2KG," 1,68,621 ",89,1281,150,B,0.431,Y,M,BYM,True,Non Retail,TRADING,CN,,Grocery
107362,CLING FILM WITH SLIDE CUTTER 45CMX600M," 1,66,729 ",545,3242,151,B,0.431,X,L,BXL,True,Non Retail,TRADING,CN,,Non Food
13601,DRIED APRICOT WHOLE 12.5KG," 1,65,885 ",28,164,152,B,0.431,Z,N,BZN,True,Non Retail,TRADING,TR,,Fruits
65509,FRZ DURIAN PULP PURE MSW/REDMAN 1KG," 1,64,799 ",45,203,153,B,0.433,Z,N,BZN,True,Non Retail,TRADING,MY,,Fruits
50061,NUT MACADAMIA STYLE 4 REDMAN 1KG," 1,63,877 ",266,1726,154,B,0.433,Y,M,BYM,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
56075,NUT WALNUT LIGHT HALVES & PIECES RM 1KG," 1,62,917 ",151,797,155,B,0.434,Y,M,BYM,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
59503,POWDER GREENTEA BAKEABLE/REDMAN 1KG," 1,61,720 ",217,951,156,B,0.435,Y,M,BYM,True,Non Retail,TRADING,TW,,Bakery
909,NUT ALMOND BLANCHED SLICED REDMAN 250G," 1,60,792 ",116,452,157,B,0.436,Y,M,BYM,True,Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
62059,TORTILLA CHIP/ZANUY 454G," 1,60,525 ",102,1254,158,B,0.436,Y,M,BYM,True,Non Retail,TRADING,ES,,Grocery
8924,PIE FILLING BLACK CHERRY/ REDMAN 2.7KG," 1,60,416 ",130,849,159,B,0.438,Y,M,BYM,True,Non Retail,TRADING,BE,,Filling & Jam
65126,SILICON BAKING PAPER 60X40CM /SCHNEIDER," 1,60,221 ",190,1579,160,B,0.438,Y,M,BYM,True,Non Retail,TRADING,DE,,Non Food
81006,FRZ US BEEF RIBEYE B/L PRIME/SWIFT," 1,59,306 ",22,373,161,B,0.44,Z,M,BZM,True,Non Retail,TRADING,US,,Meat
13762,FLOUR CAKE PRIMA PRIMA 25KG," 1,58,967 ",164,2108,162,B,0.442,Y,M,BYM,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
62581,MAYONNAISE (JAPANESE STYLE)/KEWPIE 1L," 1,57,310 ",199,2509,163,B,0.442,Y,M,BYM,True,Non Retail,TRADING,MY,,Grocery
54032,FILLING PASTE MC YAM LOTUS/REDMAN 1KG," 1,55,504 ",66,217,164,B,0.443,Y,N,BYN,True,Non Retail,TRADING,MY,,Filling & Jam
15236,TARTLET SHELL MINI RD-SWEET/REDMAN 30PC," 1,54,410 ",109,708,165,B,0.443,Y,M,BYM,True,Non Retail,TRADING,SG,,Bakery
